speed,road_condition,visibility,traffic_density
52.44,moderate,clear,low
133.1,good,rainy,low
102.48,good,foggy,low
83.81,poor,rainy,low
21.84,moderate,clear,low
21.84,good,rainy,medium
8.13,good,clear,low
121.26,moderate,clear,medium
84.16,good,rainy,medium
99.13,good,clear,medium
2.88,moderate,clear,low
135.79,moderate,rainy,high
116.54,moderate,rainy,medium
29.73,good,foggy,low
25.46,moderate,foggy,high
25.68,good,clear,high
42.59,good,clear,low
73.47,moderate,clear,low
60.47,moderate,foggy,high
40.77,poor,foggy,high
85.66,moderate,foggy,low
19.53,moderate,foggy,low
40.9,good,clear,medium
51.29,good,clear,medium
63.85,good,clear,medium
109.92,good,foggy,medium
27.95,poor,clear,medium
71.99,good,rainy,high
82.94,poor,clear,low
6.5,moderate,clear,low
85.06,poor,clear,high
23.87,moderate,foggy,high
9.11,moderate,foggy,medium
132.84,moderate,clear,medium
135.19,good,clear,low
113.18,moderate,foggy,medium
42.65,good,clear,medium
13.67,good,rainy,low
95.79,moderate,foggy,low
61.62,good,clear,medium
17.09,poor,clear,low
69.32,poor,rainy,medium
4.81,poor,clear,low
127.3,good,clear,medium
36.23,good,rainy,low
92.75,poor,rainy,high
43.64,moderate,rainy,medium
72.81,poor,foggy,medium
76.54,poor,clear,high
25.88,poor,clear,medium
135.74,good,foggy,low
108.52,good,foggy,medium
131.53,poor,clear,medium
125.28,good,rainy,high
83.71,good,clear,medium
129.06,moderate,clear,low
12.39,poor,clear,low
27.44,moderate,clear,medium
6.33,moderate,clear,medium
45.55,good,clear,medium
54.41,moderate,clear,medium
37.99,poor,foggy,high
116.02,good,foggy,medium
49.95,moderate,foggy,low
39.33,poor,rainy,low
75.98,moderate,clear,low
19.73,moderate,clear,low
112.31,moderate,rainy,low
10.44,good,clear,low
138.16,good,rainy,low
108.11,poor,clear,low
27.82,poor,rainy,high
0.77,poor,clear,low
114.16,poor,rainy,medium
98.96,moderate,foggy,medium
102.06,moderate,rainy,high
107.98,poor,clear,low
10.37,moderate,foggy,medium
50.19,moderate,rainy,high
16.22,poor,foggy,high
120.83,poor,foggy,high
87.26,good,foggy,low
46.33,good,clear,low
8.9,good,foggy,medium
43.54,moderate,foggy,high
45.53,good,rainy,medium
102.14,moderate,clear,medium
89.26,moderate,clear,low
124.21,good,rainy,high
66.11,moderate,rainy,low
16.74,good,clear,medium
99.85,good,foggy,medium
106.51,poor,clear,medium
78.58,good,clear,low
107.94,good,clear,low
69.13,moderate,clear,medium
73.18,poor,foggy,low
59.86,good,clear,medium
3.56,moderate,rainy,low
15.1,good,rainy,medium
4.4,good,foggy,medium
89.1,moderate,foggy,low
44.01,moderate,clear,medium
71.2,moderate,rainy,low
127.06,moderate,foggy,low
34.9,poor,clear,high
57.45,moderate,rainy,medium
105.78,good,rainy,high
32.03,poor,rainy,low
10.78,good,foggy,medium
40.57,moderate,foggy,high
22.57,good,clear,medium
130.16,good,rainy,medium
113.14,poor,rainy,medium
88.68,poor,clear,medium
122.0,moderate,clear,high
112.51,moderate,clear,high
26.12,good,rainy,high
124.96,good,rainy,low
75.51,good,clear,high
113.04,moderate,foggy,high
125.45,moderate,clear,low
44.52,moderate,rainy,low
15.41,good,rainy,high
31.91,poor,rainy,medium
59.8,moderate,clear,high
114.52,moderate,clear,low
120.5,moderate,clear,high
0.97,moderate,clear,low
71.5,good,rainy,low
58.44,good,rainy,low
31.1,poor,rainy,high
16.78,good,rainy,medium
47.27,good,foggy,medium
132.01,good,foggy,medium
45.25,good,rainy,high
72.63,poor,rainy,medium
98.42,moderate,clear,high
50.91,moderate,clear,medium
136.05,good,clear,medium
134.74,moderate,rainy,medium
35.25,moderate,foggy,medium
69.61,good,clear,high
42.12,moderate,foggy,medium
39.88,good,foggy,low
5.16,moderate,clear,high
85.34,moderate,clear,medium
70.38,good,foggy,medium
7.21,good,foggy,high
39.01,moderate,foggy,medium
127.16,moderate,foggy,low
33.54,poor,rainy,high
20.29,moderate,foggy,medium
68.52,good,foggy,medium
137.99,good,rainy,low
33.89,moderate,clear,high
94.1,good,clear,medium
106.63,moderate,clear,medium
33.27,poor,foggy,high
101.95,moderate,foggy,high
51.49,good,foggy,low
88.52,moderate,clear,medium
88.69,moderate,clear,low
75.01,moderate,clear,high
12.64,poor,clear,low
116.94,good,foggy,medium
44.91,poor,clear,high
26.11,poor,clear,high
5.71,good,rainy,medium
82.73,good,clear,high
94.86,good,foggy,low
2.32,good,foggy,high
71.69,good,clear,low
31.71,moderate,foggy,medium
90.32,good,rainy,high
24.41,good,rainy,low
96.73,poor,clear,low
54.14,good,rainy,high
131.14,poor,clear,high
19.25,good,clear,medium
47.75,good,clear,medium
15.89,moderate,rainy,medium
129.46,moderate,clear,low
122.83,poor,clear,medium
36.11,moderate,foggy,low
92.4,poor,clear,high
114.41,good,clear,medium
77.73,good,clear,medium
74.15,poor,clear,medium
33.86,poor,clear,high
13.03,poor,clear,low
125.61,moderate,foggy,medium
126.06,good,clear,medium
88.63,poor,clear,medium
47.46,good,rainy,low
48.89,poor,clear,high
101.63,poor,foggy,high
125.6,moderate,clear,medium
124.19,poor,clear,medium
109.18,poor,clear,high
